Date,Open,High,Low,Close
4/9/2018,2.07%,2.09%,2.06%,2.08%
4/10/2018,2.07%,2.10%,2.07%,2.08%
4/11/2018,2.08%,2.10%,2.06%,2.08%
4/12/2018,2.08%,2.11%,2.08%,2.10%
4/13/2018,2.10%,2.13%,2.09%,2.11%
4/16/2018,2.12%,2.14%,2.10%,2.12%
4/17/2018,2.12%,2.15%,2.11%,2.14%
4/18/2018,2.14%,2.19%,2.13%,2.17%
4/19/2018,2.17%,2.21%,2.17%,2.19%
4/20/2018,2.19%,2.22%,2.19%,2.22%
4/23/2018,2.21%,2.24%,2.20%,2.23%
4/24/2018,2.23%,2.25%,2.23%,2.23%
4/25/2018,2.27%,2.28%,2.26%,2.27%
4/26/2018,2.27%,2.28%,2.24%,2.25%
4/27/2018,2.25%,2.29%,2.24%,2.25%
4/30/2018,2.25%,2.27%,2.24%,2.25%
5/1/2018,2.25%,2.29%,2.24%,2.26%
5/2/2018,2.26%,2.28%,2.24%,2.25%
5/3/2018,2.25%,2.26%,2.23%,2.24%
5/4/2018,2.25%,2.26%,2.23%,2.25%
5/7/2018,2.25%,2.27%,2.24%,2.25%
5/8/2018,2.25%,2.28%,2.25%,2.26%
5/9/2018,2.25%,2.28%,2.24%,2.27%
5/10/2018,2.27%,2.28%,2.25%,2.27%
5/11/2018,2.27%,2.28%,2.25%,2.27%
5/14/2018,2.27%,2.29%,2.27%,2.28%
5/15/2018,2.28%,2.31%,2.28%,2.29%
5/16/2018,2.30%,2.32%,2.29%,2.30%
5/17/2018,2.30%,2.32%,2.29%,2.32%
5/18/2018,2.31%,2.32%,2.30%,2.32%
5/21/2018,2.31%,2.35%,2.30%,2.34%
5/22/2018,2.34%,2.35%,2.32%,2.35%
5/23/2018,2.35%,2.36%,2.31%,2.31%
5/24/2018,2.31%,2.31%,2.28%,2.29%
5/25/2018,2.28%,2.29%,2.27%,2.27%
5/29/2018,2.27%,2.27%,2.17%,2.18%
5/30/2018,2.17%,2.24%,2.16%,2.22%
5/31/2018,2.23%,2.26%,2.21%,2.25%
6/1/2018,2.24%,2.30%,2.24%,2.28%
6/4/2018,2.27%,2.31%,2.26%,2.30%
6/5/2018,2.31%,2.32%,2.25%,2.30%
6/6/2018,2.30%,2.33%,2.28%,2.32%
6/7/2018,2.32%,2.33%,2.30%,2.30%
6/8/2018,2.31%,2.32%,2.29%,2.31%
6/11/2018,2.31%,2.32%,2.30%,2.32%
6/12/2018,2.32%,2.34%,2.31%,2.33%
6/13/2018,2.33%,2.36%,2.32%,2.34%
6/14/2018,2.34%,2.35%,2.32%,2.33%
6/15/2018,2.33%,2.36%,2.31%,2.33%
6/18/2018,2.33%,2.35%,2.32%,2.34%
6/19/2018,2.34%,2.35%,2.32%,2.33%
6/20/2018,2.36%,2.38%,2.35%,2.37%
6/21/2018,2.37%,2.37%,2.35%,2.36%
6/22/2018,2.35%,2.36%,2.34%,2.35%
6/25/2018,2.34%,2.36%,2.33%,2.35%
6/26/2018,2.34%,2.36%,2.33%,2.34%
6/27/2018,2.34%,2.35%,2.33%,2.33%
6/28/2018,2.33%,2.35%,2.32%,2.33%
6/29/2018,2.33%,2.35%,2.32%,2.33%
7/2/2018,2.33%,2.35%,2.32%,2.34%
7/3/2018,2.34%,2.35%,2.32%,2.33%
7/5/2018,2.34%,2.35%,2.32%,2.33%
7/6/2018,2.33%,2.35%,2.32%,2.33%
7/9/2018,2.33%,2.35%,2.32%,2.34%
7/10/2018,2.34%,2.35%,2.33%,2.35%
7/11/2018,2.35%,2.36%,2.33%,2.35%
7/12/2018,2.35%,2.40%,2.34%,2.38%
7/13/2018,2.36%,2.38%,2.35%,2.37%
7/16/2018,2.36%,2.39%,2.36%,2.38%
7/17/2018,2.39%,2.41%,2.38%,2.39%
7/18/2018,2.43%,2.45%,2.41%,2.43%
7/19/2018,2.43%,2.43%,2.40%,2.41%
7/20/2018,2.41%,2.43%,2.40%,2.40%
7/23/2018,2.41%,2.43%,2.40%,2.42%
7/24/2018,2.42%,2.46%,2.41%,2.42%
7/25/2018,2.42%,2.44%,2.40%,2.43%
7/26/2018,2.42%,2.44%,2.41%,2.43%
7/27/2018,2.43%,2.45%,2.42%,2.43%
7/30/2018,2.43%,2.47%,2.42%,2.43%
7/31/2018,2.43%,2.46%,2.42%,2.43%
8/1/2018,2.44%,2.47%,2.43%,2.46%
8/2/2018,2.45%,2.46%,2.43%,2.43%
8/3/2018,2.44%,2.45%,2.42%,2.44%
8/6/2018,2.44%,2.45%,2.42%,2.43%
8/7/2018,2.43%,2.46%,2.42%,2.44%
8/8/2018,2.44%,2.45%,2.42%,2.44%
8/9/2018,2.44%,2.45%,2.43%,2.44%
8/10/2018,2.43%,2.44%,2.41%,2.42%
8/13/2018,2.42%,2.44%,2.41%,2.43%
8/14/2018,2.43%,2.44%,2.41%,2.42%
8/15/2018,2.47%,2.48%,2.45%,2.45%
8/16/2018,2.46%,2.49%,2.45%,2.48%
8/17/2018,2.46%,2.49%,2.44%,2.45%
8/20/2018,2.45%,2.46%,2.43%,2.44%
8/21/2018,2.44%,2.47%,2.43%,2.45%
8/22/2018,2.45%,2.46%,2.43%,2.44%
8/23/2018,2.44%,2.46%,2.43%,2.44%
8/24/2018,2.44%,2.47%,2.43%,2.45%
8/27/2018,2.47%,2.47%,2.47%,2.47%
8/28/2018,2.46%,2.48%,2.45%,2.48%
8/29/2018,2.47%,2.50%,2.46%,2.48%
8/30/2018,2.48%,2.48%,2.45%,2.47%
8/31/2018,2.46%,2.48%,2.45%,2.48%
9/4/2018,2.48%,2.51%,2.46%,2.49%
9/5/2018,2.49%,2.51%,2.48%,2.49%
9/6/2018,2.49%,2.51%,2.47%,2.49%
9/7/2018,2.49%,2.54%,2.48%,2.53%
9/10/2018,2.53%,2.54%,2.52%,2.53%
9/11/2018,2.53%,2.56%,2.52%,2.54%
9/12/2018,2.57%,2.58%,2.55%,2.57%
9/13/2018,2.57%,2.58%,2.56%,2.56%
9/14/2018,2.57%,2.59%,2.56%,2.57%
9/17/2018,2.58%,2.59%,2.57%,2.58%
9/18/2018,2.58%,2.61%,2.57%,2.59%
9/19/2018,2.59%,2.60%,2.57%,2.58%
9/20/2018,2.59%,2.60%,2.58%,2.60%
9/21/2018,2.59%,2.61%,2.58%,2.59%
9/24/2018,2.59%,2.61%,2.58%,2.59%
9/25/2018,2.60%,2.61%,2.59%,2.60%
9/26/2018,2.60%,2.61%,2.57%,2.58%
9/27/2018,2.59%,2.60%,2.58%,2.59%
9/28/2018,2.60%,2.60%,2.57%,2.58%
10/1/2018,2.58%,2.61%,2.58%,2.60%
