Date,Open,High,Low,Close
4/8/2020,0.21%,0.25%,0.17%,0.23%
4/9/2020,0.24%,0.29%,0.20%,0.25%
4/13/2020,0.25%,0.32%,0.22%,0.26%
4/14/2020,0.27%,0.27%,0.22%,0.23%
4/15/2020,0.24%,0.24%,0.17%,0.20%
4/16/2020,0.19%,0.20%,0.17%,0.17%
4/17/2020,0.18%,0.22%,0.16%,0.16%
4/20/2020,0.17%,0.18%,0.14%,0.14%
4/21/2020,0.15%,0.16%,0.14%,0.15%
4/22/2020,0.15%,0.19%,0.14%,0.17%
4/23/2020,0.18%,0.19%,0.13%,0.17%
4/24/2020,0.18%,0.19%,0.14%,0.17%
4/27/2020,0.17%,0.21%,0.16%,0.18%
4/28/2020,0.19%,0.19%,0.15%,0.17%
4/29/2020,0.17%,0.18%,0.14%,0.16%
4/30/2020,0.16%,0.18%,0.15%,0.17%
5/1/2020,0.15%,0.19%,0.15%,0.18%
5/4/2020,0.18%,0.18%,0.15%,0.16%
5/5/2020,0.16%,0.19%,0.16%,0.17%
5/6/2020,0.18%,0.20%,0.16%,0.18%
5/7/2020,0.18%,0.18%,0.15%,0.15%
5/8/2020,0.16%,0.16%,0.12%,0.16%
5/11/2020,0.16%,0.18%,0.14%,0.16%
5/12/2020,0.17%,0.18%,0.15%,0.17%
5/13/2020,0.16%,0.17%,0.13%,0.16%
5/14/2020,0.15%,0.18%,0.14%,0.16%
5/15/2020,0.16%,0.17%,0.14%,0.15%
5/18/2020,0.16%,0.19%,0.14%,0.17%
5/19/2020,0.17%,0.17%,0.15%,0.17%
5/20/2020,0.16%,0.18%,0.14%,0.16%
5/21/2020,0.18%,0.19%,0.15%,0.16%
5/22/2020,0.17%,0.19%,0.15%,0.17%
5/24/2020,0.17%,0.17%,0.16%,0.17%
5/26/2020,0.16%,0.19%,0.16%,0.17%
5/27/2020,0.17%,0.19%,0.17%,0.18%
5/28/2020,0.18%,0.20%,0.17%,0.18%
5/29/2020,0.18%,0.22%,0.17%,0.21%
6/1/2020,0.21%,0.21%,0.16%,0.18%
6/2/2020,0.19%,0.20%,0.16%,0.18%
6/3/2020,0.18%,0.20%,0.16%,0.18%
6/4/2020,0.18%,0.22%,0.17%,0.18%
6/5/2020,0.19%,0.20%,0.17%,0.19%
6/8/2020,0.20%,0.21%,0.17%,0.20%
6/9/2020,0.20%,0.22%,0.18%,0.20%
6/10/2020,0.20%,0.21%,0.16%,0.18%
6/11/2020,0.19%,0.20%,0.17%,0.19%
6/12/2020,0.19%,0.20%,0.17%,0.19%
6/15/2020,0.18%,0.20%,0.17%,0.18%
6/16/2020,0.19%,0.20%,0.16%,0.19%
6/17/2020,0.19%,0.21%,0.17%,0.20%
6/18/2020,0.20%,0.21%,0.17%,0.19%
6/19/2020,0.19%,0.20%,0.17%,0.18%
6/22/2020,0.19%,0.20%,0.17%,0.18%
6/23/2020,0.19%,0.19%,0.17%,0.18%
6/24/2020,0.17%,0.19%,0.17%,0.18%
6/25/2020,0.18%,0.19%,0.17%,0.17%
6/26/2020,0.18%,0.19%,0.17%,0.17%
6/29/2020,0.17%,0.17%,0.16%,0.16%
6/30/2020,0.16%,0.18%,0.15%,0.17%
